,SiteId,CompanyName,StreetNameAndNumber,PostalCode,Country,ID_Eurostat,Subsector_Name,Latitude,Longitude,NUTS1ID,NUTS3ID,H2-Potential in TWh,ProcessInfo,geometry
230,231,Papierfabrik Palm GmbH & Co. KG,Industriestraße 23 ,97483,DE,3,Paper and printing,49.982951,10.657704,DE2,DE267,0.7705,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Graphic paper</td> <td>7.2</td> <td>0.7091 </td>
 <tr> <td nowrap>Recovered fibers</td> <td>0.5</td> <td>0.0614 </td>
 </table>
",POINT (10.657704 49.982951)
231,232,Cordier Spezialpapier GmbH,Jägerthal 7 ,67098,DE,3,Paper and printing,49.463294,8.170506,DEB,DEB3C,0.1072,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.1072 </td>
 </table>
",POINT (8.170506 49.463294)
232,233,Cordier Spezialpapier GmbH,Kaiserslauterer Str. 405 ,67098,DE,3,Paper and printing,49.464617,8.109641,DEB,DEB3C,0.042,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Graphic paper</td> <td>7.2</td> <td>0.0336 </td>
 <tr> <td nowrap>Graphic paper</td> <td>7.2</td> <td>0.0084 </td>
 </table>
",POINT (8.109641 49.464617)
233,234,Interface Solutions Altenkirchen GmbH,Koblenzer Strasse ,57602,DE,3,Paper and printing,50.677269,7.635923,DEB,DEB13,0.0179,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0179 </td>
 </table>
",POINT (7.635923 50.677269)
234,235,Karl Kurz GmbH & Co. KG,Kocherweg 10 ,74538,DE,3,Paper and printing,49.088785,9.736354,DE1,DE11A,0.0057,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0045 </td>
 <tr> <td nowrap>Recovered fibers</td> <td>0.5</td> <td>0.0012 </td>
 </table>
",POINT (9.736354 49.088785)
235,236,Katharina Tillmann Papier und Wellpappenfabrik e.K.,Kommerner Str. 78 ,53909,DE,3,Paper and printing,50.643771,6.7096,DEA,DEA28,0.0662,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0366 </td>
 <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0223 </td>
 <tr> <td nowrap>Recovered fibers</td> <td>0.5</td> <td>0.0073 </td>
 </table>
",POINT (6.7096 50.643771)
236,237,UPM GmbH,Kuhheide 1 ,16303,DE,3,Paper and printing,53.076403,14.30924,DE4,DE40I,0.414,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Graphic paper</td> <td>7.2</td> <td>0.3808 </td>
 <tr> <td nowrap>Recovered fibers</td> <td>0.5</td> <td>0.0332 </td>
 </table>
",POINT (14.30924 53.076403)
237,238,Propapier PM1 GmbH,Lindenallee 28 ,39288,DE,3,Paper and printing,52.252431,11.885426,DEE,DEE06,0.3216,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.2288 </td>
 <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0572 </td>
 <tr> <td nowrap>Recovered fibers</td> <td>0.5</td> <td>0.0356 </td>
 </table>
",POINT (11.885426 52.252431)
238,239,Pappenfabrik Nierfeld Joseph Piront GmbH & Co. KG,Luxemburger Straße 16 ,53937,DE,3,Paper and printing,50.570667,6.499234,DEA,DEA28,0.0019,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Recovered fibers</td> <td>0.5</td> <td>0.001 </td>
 <tr> <td nowrap>Recovered fibers</td> <td>0.5</td> <td>0.0009 </td>
 </table>
",POINT (6.499234 50.570667)
239,240,Koehler Greiz GmbH & Co. KG,Mylauer Strasse 4 ,7973,DE,3,Paper and printing,50.642902,12.199094,DEG,DEG0L,0.0428,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Graphic paper</td> <td>7.2</td> <td>0.0394 </td>
 <tr> <td nowrap>Recovered fibers</td> <td>0.5</td> <td>0.0034 </td>
 </table>
",POINT (12.199094 50.642902)
240,241,Schoeller Technocell GmbH & Co.KG,Nicolausstr. 10 ,87634,DE,3,Paper and printing,47.820822,10.434107,DE2,DE27B,0.0527,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0527 </td>
 </table>
",POINT (10.434107 47.820822)
241,242,Mitsubishi HiTec Paper Europe GmbH,Niedernholz 23 ,33699,DE,3,Paper and printing,51.99992,8.613958,DEA,DEA41,0.197,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Graphic paper</td> <td>7.2</td> <td>0.197 </td>
 </table>
",POINT (8.613958 51.99992)
242,243,KANZAN Spezialpapiere GmbH,Nippesstrasse 5 ,52349,DE,3,Paper and printing,50.792704,6.483999,DEA,DEA26,0.0788,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Graphic paper</td> <td>7.2</td> <td>0.0788 </td>
 </table>
",POINT (6.483999 50.792704)
