name,bus,carrier,x,y
KarlsruheWest_110kV,KarlsruheWest_110kV,AC,8.38,49
Daxlanden_110kV,Daxlanden_110kV,AC,8.29,49
Oberwald_110kV,Oberwald_110kV,AC,8.42,48.98
KarlsruheOst_110kV,KarlsruheOst_110kV,AC,8.43,49
Kuppenheim_110kV,Kuppenheim_110kV,AC,8.23,48.83
Forbach_110kV,Forbach_110kV,AC,8.36,48.68
Buhl_110kV,Buhl_110kV,AC,8.13,48.69
Weier_110kV,Weier_110kV,AC,7.93,48.49
Eichstetten_110kV,Eichstetten_110kV,AC,7.74,48.091
Philippsburg_110kV,Philippsburg_110kV,AC,8.44,49.23
Altlussheim_110kV,Altlussheim_110kV,AC,8.4,49.29
Rheinau_110kV,Rheinau_110kV,AC,8.54,49.44
GKMannheim_110kV,GKMannheim_110kV,AC,8.47,49.44
Lorrach_110kV,Lorrach_110kV,AC,7.61,47.63
Rheinfelden_110kV,Rheinfelden_110kV,AC,7.76,47.59
Ryburg_Schworstadt_110kV,Ryburg_Schworstadt_110kV,AC,7.86,47.59
Kuhmoos_110kV,Kuhmoos_110kV,AC,7.98,47.62
Laufenburg_110kV,Laufenburg_110kV,AC,8.08,47.57
Reckingen_110kV,Reckingen_110kV,AC,8.33,47.57
Tiengen_110kV,Tiengen_110kV,AC,8.26,47.63
Gurtweil_110kV,Gurtweil_110kV,AC,8.24,47.64
Weinheim_110kV,Weinheim_110kV,AC,8.65,49.54
Villingen_110kV,Villingen_110kV,AC,8.45,48.06
Engstlatt_110kV,Engstlatt_110kV,AC,8.86,48.3
Oberjettingen_110kV,Oberjettingen_110kV,AC,8.76,48.57
Pulverdingen_110kV,Pulverdingen_110kV,AC,9.03,48.9
Bruchsal_110kV,Bruchsal_110kV,AC,8.57,49.12
Wiesloch_110kV,Wiesloch_110kV,AC,8.64,49.31
Enzberg_110kV,Enzberg_110kV,AC,8.64,49.31
Birkenfeld_110kV,Birkenfeld_110kV,AC,8.64,48.87
Huffenhardt_110kV,Huffenhardt_110kV,AC,9.09,49.29
Grossgartach_110kV,Grossgartach_110kV,AC,9.12,49.14
Hoheneck_110kV,Hoheneck_110kV,AC,9.23,48.9
Leimen_110kV,Leimen_110kV,AC,8.68,49.35
Trossingen_110kV,Trossingen_110kV,AC,8.63,48.07
Tuttlingen_110kV,Tuttlingen_110kV,AC,8.82,47.98
Nehren_110kV,Nehren_110kV,AC,9.06,48.43
Rappenberghalde_110kV,Rappenberghalde_110kV,AC,9,48.52
Metzingen_110kV,Metzingen_110kV,AC,9.28,48.54
Reutlingen_110kV,Reutlingen_110kV,AC,9.2,48.49
Herbertingen_110kV,Herbertingen_110kV,AC,9.43,48.06
Ebingen_110kV,Ebingen_110kV,AC,9.03,48.21
Laufen_an_der_Eyach_110kV,Laufen_an_der_Eyach_110kV,AC,8.92,48.22
Dotternhausen_110kV,Dotternhausen_110kV,AC,8.79,48.22
Zollhaus_110kV,Zollhaus_110kV,AC,8.56,47.84
Beuren_110kV,Beuren_110kV,AC,8.87,47.79
Singen_110kV,Singen_110kV,AC,8.87,47.76
Stockach_110kV,Stockach_110kV,AC,9,47.85
Messkirch_110kV,Messkirch_110kV,AC,9.11,47.99
Sipplingen_110kV,Sipplingen_110kV,AC,9.09,47.79
Weildorf_110kV,Weildorf_110kV,AC,9.3,47.79
Markdorf_110kV,Markdorf_110kV,AC,9.39,47.72
Grunkraut_110kV,Grunkraut_110kV,AC,9.65,47.74
Obermooweiler_110kV,Obermooweiler_110kV,AC,9.82,47.69
Wangen_im_Allgau_110kV,Wangen_im_Allgau_110kV,AC,9.85,47.69
Leutkirch_110kV,Leutkirch_110kV,AC,10.02,47.83
Haisterkirch_110kV,Haisterkirch_110kV,AC,9.8,47.92
Biberach_110kV,Biberach_110kV,AC,9.79,48.09
Ochsenhausen_110kV,Ochsenhausen_110kV,AC,9.95,48.07
Tannheim_110kV,Tannheim_110kV,AC,10.08,47.99
Unteropfingen_110kV,Unteropfingen_110kV,AC,10.12,48.06
Dettingen_110kV,Dettingen_110kV,AC,10.11,48.11
Dellmensingen_110kV,Dellmensingen_110kV,AC,9.9,48.3
