,demand_value,x,y
Alb-Donau-Kreis,0.00734001,,
"Baden-Baden, Stadtkreis",0.00197032,,
Biberach,0.00734678,,
Bodenseekreis,0.00802295,,
Breisgau-Hochschwarzwald,0.0106354,,
Boblingen,0.0129682,,
Calw,0.00568305,,
Emmendingen,0.00646949,,
Enzkreis,0.00701092,,
Esslingen,0.01802,,
"Freiburg im Breisgau, Stadtkreis",0.00746312,,
Freudenstadt,0.00439186,,
Goppingen,0.00851486,,
"Heidelberg, Stadtkreis",0.00464245,,
Heidenheim,0.00434451,,
"Heilbronn, Landkreis",0.0119237,,
"Heilbronn, Stadtkreis",0.00391951,,
Hohenlohekreis,0.00420003,,
"Karlsruhe, Landkreis",0.0160454,,
"Karlsruhe, Stadtkreis",7.3479398,,
Konstanz,0.0103656,,
Ludwigsburg,0.0187681,,
Lorrach,1.40415002,,
Main-Tauber-Kreis,0.00462747,,
"Mannheim, Stadtkreis",0.00953606,,
Neckar-Odenwald-Kreis,0.00517289,,
Ortenaukreis,0.015377,,
Ostalbkreis,0.0107443,,
"Pforzheim, Stadtkreis",0.00387617,,
Rastatt,0.00831187,,
Ravensburg,0.0105149,,
Rems-Murr-Kreis,0.014454,,
Reutlingen,0.0101879,,
Rhein-Neckar-Kreis,0.0192616,,
Rottweil,0.00482004,,
Schwarzwald-Baar-Kreis,0.00716797,,
Schwabisch Hall,0.00727961,,
Sigmaringen,0.0047344,,
"Stuttgart, Stadtkreis",0.018737,,
Tuttlingen,0.00487883,,
"Tubingen, Landkreis",0.00807849,,
"Ulm, Stadtkreis",0.00386614,,
Waldshut,0.00614537,,
Zollernalbkreis,0.00650108,,
