name,bus,carrier,p_nom,p_nom_extendable,capital_cost,marginal_cost,efficiency
Dettingen_ROF,Metzingen_110kV,Run_of_River,11,TRUE,,,
Iffezheim_ROF,Kuppenheim_110kV,Run_of_River,148,TRUE,,,
KWWyhlen_ROF,Lorrach_110kV,Run_of_River,38,TRUE,,,
Laufenburg_ROF,Laufenburg_110kV,Run_of_River,104,TRUE,,,
RADAG_Albbruck_ROF,Tiengen_110kV,Run_of_River,79.5,TRUE,,,
Reckingen_ROF,Reckingen_110kV,Run_of_River,19,TRUE,,,
Rheinfelden_ROF,Rheinfelden_110kV,Run_of_River,47,TRUE,,,
Rudolf_ROF,Forbach_110kV,Run_of_River,22,TRUE,,,
Ryburg_ROF,Ryburg_Schworstadt_110kV,Run_of_River,30,TRUE,,,
Sackingen_ROF,Kuhmoos_110kV,Run_of_River,37,TRUE,,,
Tannheim_ROF,Tannheim_110kV,Run_of_River,12.3,TRUE,,,
Unteropfingen_(Baden)_ROF,Villingen_110kV,Run_of_River,15,TRUE,,,
Unteropfingen_(Wurrtemberg)_ROF,Unteropfingen_110kV,Run_of_River,14.2,TRUE,,,
WKW_Albbruck_ROF,Tiengen_110kV,Run_of_River,24,TRUE,,,
BioHKW_BIO,SoflingenUlm_110kV,Biomass,13.2,TRUE,,,
BMKW_Mannheim_BIO,GKMannheim_110kV,Biomass,18,TRUE,,,
Herbrechtingen_BIO,Giengen_110kV,Biomass,16,TRUE,,,
Oberrot_BIO,Kupferzell_110kV,Biomass,18.8,TRUE,,,
Odenwald_BIO,Hopfingen_110kV,Biomass,28.4,TRUE,,,
Pforzheim_BIO,Birkenfeld_110kV,Biomass,12,TRUE,,,
Sappi_BIO,Ehingen_110kV,Biomass,21.2,TRUE,,,
SCA_Mannheim_BIO,GKMannheim_110kV,Biomass,59.2,TRUE,,,
StoraEnsoMaxau_BIO,Philippsburg_110kV,Biomass,78,TRUE,,,
