,demand_value,x,y
Alb-Donau-Kreis,2.19665153,,
"Baden-Baden, Stadtkreis",0.1931222,,
Biberach,0.18367255,,
Bodenseekreis,0.164833792,,
Breisgau-Hochschwarzwald,1.10900294,,
Boblingen,0.284273192,,
Calw,0.11775551,,
Emmendingen,0.61315765,,
Enzkreis,0.16789555,,
Esslingen,0.407991584,,
"Freiburg im Breisgau, Stadtkreis",0.81330218,,
Freudenstadt,0.13555989,,
Goppingen,0.33126412,,
"Heidelberg, Stadtkreis",0.05282515,,
Heidenheim,0.78134195,,
"Heilbronn, Landkreis",0.331520028,,
"Heilbronn, Stadtkreis",0.14372464,,
Hohenlohekreis,0.12673201,,
"Karlsruhe, Landkreis",1.10195575,,
"Karlsruhe, Stadtkreis",5.8788699,,
Konstanz,0.268167908,,
Ludwigsburg,0.6099589,,
Lorrach,1.16762643,,
Main-Tauber-Kreis,0.13530557,,
"Mannheim, Stadtkreis",0.952738016,,
Neckar-Odenwald-Kreis,0.11734489,,
Ortenaukreis,2.16140227,,
Ostalbkreis,0.384795748,,
"Pforzheim, Stadtkreis",0.081554926,,
Rastatt,1.37495007,,
Ravensburg,0.96047348,,
Rems-Murr-Kreis,0.284426408,,
Reutlingen,0.26867246,,
Rhein-Neckar-Kreis,1.09040822,,
Rottweil,0.1295149,,
Schwarzwald-Baar-Kreis,0.179289248,,
Schwabisch Hall,0.2450467,,
Sigmaringen,0.08610625,,
"Stuttgart, Stadtkreis",0.469391008,,
Tuttlingen,0.20090869,,
"Tubingen, Landkreis",0.12256742,,
"Ulm, Stadtkreis",0.139824496,,
Waldshut,0.81360931,,
Zollernalbkreis,0.91775779,,
