,demand_value,x,y
Alb-Donau-Kreis,0.000819916,,
Boblingen,0.000007512,,
Goppingen,0.000016585,,
Heidenheim,0.000283261,,
"Heilbronn, Landkreis",0.000010012,,
"Karlsruhe, Landkreis",0.000316439,,
Konstanz,0.000011577,,
Ludwigsburg,0.000011577,,
Lorrach,0.00615643,,
"Mannheim, Stadtkreis",0.000011577,,
Ortenaukreis,0.000007512,,
Rastatt,0.000007512,,
Rhein-Neckar-Kreis,0.000297029,,
"Stuttgart, Stadtkreis",0.000015646,,
Zollernalbkreis,0.000314561,,
